Code INSEE,Code Postal,Commune
63402,63550,SAINT-VICTOR-MONTVIANEIX
26027,26150,BARSAC
42205,42940,SAINT-BONNET-LE-COURREAU
69063,69660,COLLONGES-AU-MONT-D'OR
61502,61360,VIDAI
68308,68290,SICKERT
27396,27850,MENESQUEVILLE
54013,54450,AMENONCOURT
41192,41800,LES ROCHES-L'EVEQUE
58187,58440,MYENNES
28052,28130,BOUGLAINVAL
51558,51130,SOULIERES
65131,65350,CASTELVIEILH
72062,72400,LA CHAPELLE-DU-BOIS
17109,17220,CLAVETTE
79356,79150,VOULTEGON
28286,28120,OLLE
22391,22350,YVIGNAC-LA-TOUR
15266,15130,YOLET
27205,27380,DOUVILLE-SUR-ANDELLE
11057,11420,CAHUZAC
21247,21460,EPOISSES
64233,64330,GARLIN
15136,15340,MOURJOU
52065,52110,BOUZANCOURT
33376,33160,SAINT-AUBIN-DE-MEDOC
21467,21310,OISILLY
91645,91370,VERRIERES-LE-BUISSON
35232,35210,PRINCE
77133,77126,COURCELLES-EN-BASSEE
08154,08260,ESTREBAY
14668,14330,SAONNET
39237,39250,FRAROZ
60494,60128,PLAILLY
38553,38090,VILLEFONTAINE
18224,18140,SAINT-MARTIN-DES-CHAMPS
50219,50200,GRATOT
60410,60400,MONDESCOURT
60348,60400,LARBROYE
34294,34400,SATURARGUES
04233,04200,VAUMEILH
50029,50720,BARENTON
14689,14220,THURY-HARCOURT
43047,43150,CHADRON
91378,91730,MAUCHAMPS
54446,54370,RECHICOURT-LA-PETITE
32209,32400,LELIN-LAPUJOLLE
41039,41500,LA CHAPELLE-SAINT-MARTIN-EN-PLAINE
22284,22480,SAINT-CONNAN
52468,52700,SEMILLY
24159,24410,ECHOURGNAC
08386,08300,SAINT-LOUP-EN-CHAMPAGNE
57749,57320,VOELFLING-LES-BOUZONVILLE
80161,80132,CAHON
45253,45300,PITHIVIERS-LE-VIEIL
31069,31700,BLAGNAC
01007,01500,AMBRONAY
18172,18200,ORVAL
66046,66220,CAUDIES-DE-FENOUILLEDES
51340,51300,MAISONS-EN-CHAMPAGNE
50134,50420,CHEVRY
51443,51260,POTANGIS
74036,74290,BLUFFY
53141,53210,LOUVIGNE
13021,13620,CARRY-LE-ROUET
21574,21610,SAINT-SEINE-SUR-VINGEANNE
67109,67270,DURNINGEN
77243,77400,LAGNY-SUR-MARNE
15027,15340,CALVINET
24303,24320,NANTEUIL-AURIAC-DE-BOURZAC
57266,57260,GUEBLANGE-LES-DIEUZE
14626,14100,SAINT-MARTIN-DE-MAILLOC
72303,72440,SAINT-MICHEL-DE-CHAVAIGNES
38540,38113,VEUREY-VOROIZE
68177,68610,LAUTENBACH
64241,64400,GERONCE
08318,08380,LA NEUVILLE-AUX-JOUTES
57493,57260,MULCEY
28088,28200,CHATEAUDUN
84113,84760,SAINT-MARTIN-DE-LA-BRASQUE
04037,04250,LE CAIRE
35072,35210,CHATILLON-EN-VENDELAIS
26335,26770,SALLES-SOUS-BOIS
58023,58190,BAZOCHES
76046,76116,AUZOUVILLE-SUR-RY
69217,69870,SAINT-JUST-D'AVRAY
76217,76200,DIEPPE
52009,52360,ANDILLY-EN-BASSIGNY
39051,39290,BIARNE
97302,97300,CAYENNE
71459,71640,SAINT-MARTIN-SOUS-MONTAIGU
85287,85390,TALLUD-SAINTE-GEMME
77414,77160,SAINT-HILLIERS
50077,50110,BRETTEVILLE
35317,35630,SAINT-SYMPHORIEN
60388,60112,MARTINCOURT
16015,16000,ANGOULEME
16237,16460,MOUTON
01202,01150,LAGNIEU
81184,81170,MONTROSIER
12018,12260,BALAGUIER-D'OLT
50181,50190,FEUGERES
77214,77410,GRESSY
19244,19250,SAINT-SULPICE-LES-BOIS
04017,04140,AUZET
78297,78280,GUYANCOURT
24521,24420,SARLIAC-SUR-L'ISLE
57763,57260,ZOMMANGE
89373,89100,SALIGNY
59066,59740,BERELLES
81261,81500,SAINT-LIEUX-LES-LAVAUR
25026,25270,ARC-SOUS-MONTENOT
84080,84170,MONTEUX
57666,57180,TERVILLE
71050,71520,BOURGVILAIN
79179,79320,MONCOUTANT
73216,73730,ROGNAIX
41002,41400,ANGE
36158,36200,BADECON-LE-PIN
25151,25530,CHEVIGNEY-LES-VERCEL
57543,57120,PIERREVILLERS
38394,38840,SAINT-HILAIRE-DU-ROSIER
81040,81440,BROUSSE
82027,82370,CAMPSAS
14164,14320,CLINCHAMPS-SUR-ORNE
50032,50810,LA BARRE-DE-SEMILLY
68303,68130,SCHWOBEN
72026,72110,BEAUFAY
05146,05140,SAINT-JULIEN-EN-BEAUCHENE
24040,24220,BEYNAC-ET-CAZENAC
26064,26120,CHABEUIL
25220,25290,EPEUGNEY
72119,72240,DOMFRONT-EN-CHAMPAGNE
57394,57670,LENING
68118,68440,HABSHEIM
27536,27800,SAINT-ELOI-DE-FOURQUES
64005,64360,ABOS
46048,46190,CALVIAC
83103,83200,LE REVEST-LES-EAUX
57229,57830,FOULCREY
91386,91540,MENNECY
32224,32310,MAIGNAUT-TAUZIA
74181,74370,METZ-TESSY
70577,70200,VOUHENANS
49280,49250,SAINT-GEORGES-DU-BOIS
45244,45570,OUZOUER-SUR-LOIRE
15128,15240,LA MONSELIE
02763,02220,VASSENY
62055,62890,AUDREHEM
32318,32500,PIS
12135,12270,LUNAC
22144,22440,LA MEAUGON
91619,91730,TORFOU
89425,89570,TURNY
08398,08130,SAINTE-VAUBOURG
60373,60150,MACHEMONT
59597,59554,TILLOY-LEZ-CAMBRAI
29180,29800,PLOUDIRY
17346,17430,SAINT-HIPPOLYTE
12087,12340,CRUEJOULS
25105,25320,BYANS-SUR-DOUBS
02224,02220,COURCELLES-SUR-VESLE
30082,30870,CLARENSAC
60062,60640,BERLANCOURT
51090,51230,BROUSSY-LE-GRAND
59402,59143,MILLAM
62317,62156,ETAING
